protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,thermo1,thermo2,thermo3,thermo4,thermo5,label
9606.ENSP00000290122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
9606.ENSP00000345563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.883625024418125e-05,0.0,0.0,0.0001731601731601,0.0,0.0,6.205783790492739e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.890600423746862e-05,0.192139987,1.198649840819301e-06,3.1552850319918837e-06,1.5050424035240152e-06,4.889004842567314e-07,1,1,1,1,0,0
9606.ENSP00000415436,0.0,0.0,0.0,0.0,0.0369620253164557,0.0093457943925233,0.0,0.0072202166064981,0.0357142857142857,0.0,0.2436548223350253,0.05,0.008695652173913,0.0338417126692085,0.0228231849108603,0.0260010749798441,0.0142568542568542,0.0155131264916467,0.0087976539589442,0.0323941913863721,0.0175706646294881,0.009928637914986,0.0079009182148195,0.0074557315936626,0.0058850158442734,0.0167648391481649,0.0202898550724637,0.0087209302325581,0.0120048019207683,0.0116959064327485,0.0,0.2060094923866824,0.1462390225276823,0.1205115592720117,0.04212299915754,0.0892116182572614,0.0471698113207547,0.0889992021983866,0.0453938584779706,0.0331360946745562,1.0,0.0550508070279505,0.913618102,3.3346672002134185e-05,0.0003007714282714,0.0001828404933654,8.505363288106988e-05,1,1,1,0,0,0
9606.ENSP00000370215,0.0,0.0,0.0,0.0,0.0060759493670886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087887162939435,0.0098613383860132,0.0069873689868314,0.0074458874458874,0.0107398568019093,0.010752688172043,0.0031028918952463,0.0061115355233002,0.0034129692832764,0.0002135383301302,0.0006213109661385,0.0009053870529651,0.0033982782057091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008634276167473,0.3587023439999999,1.8140260494140695e-05,7.210691576564802e-05,3.273367057612723e-05,1.1830367967827444e-05,1,1,1,0,0,0
9606.ENSP00000355593,0.0,0.0,0.0,0.0,0.0835443037974683,0.1121495327102803,0.0779220779220779,0.0830324909747292,0.1785714285714285,0.0,0.0,0.0,0.0,0.098687209243436,0.1111015416415468,0.1110588551464659,0.1292352092352092,0.124502784407319,0.126099706744868,0.0881221298249968,0.0832696715049656,0.0719826248836487,0.118910344406821,0.119291705498602,0.1326392032593933,0.1479383778885364,0.1536231884057971,0.0988372093023255,0.0894357743097238,0.1052631578947368,0.1611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1151136906837217,0.8345549999999999,5.3786574870912215e-05,0.0009604967621195,0.0004943185787679,0.0002026956286958,1,1,1,0,0,0
9606.ENSP00000311679,0.0,0.0,0.0,0.0,0.0035443037974683,0.0186915887850467,0.0129870129870129,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0055926550279632,0.0043062613039359,0.0023515184090298,0.0038672438672438,0.0047732696897374,0.002932551319648,0.0017376194613379,0.0030557677616501,0.0012410797393732,0.0001830328543973,0.0009319664492078,0.0,0.0018124150430448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005330754461884,0.336259176,3.193459794341189e-05,6.129909116031794e-05,2.960312053004768e-05,1.160029442644685e-05,1,1,1,0,0,0
9606.ENSP00000371800,0.0,0.0,0.0,0.0,0.030379746835443,0.0186915887850467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0310978389054891,0.0291964516406855,0.027613544746036,0.0273593073593073,0.0182975338106603,0.0254154447702834,0.1027057217326548,0.1207028265851795,0.0409556313993174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0328695676866986,0.202944852,1.9558754498513537e-05,0.0001958664075934,0.000105607531238,4.490683814099463e-05,1,1,1,0,0,0
9606.ENSP00000483570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
9606.ENSP00000233997,0.0,0.0,0.0,0.0,0.0020253164556962,0.0373831775700934,0.0,0.0072202166064981,0.0,0.2105263157894736,0.0,0.0,0.0,0.0040588350202941,0.0052536387908018,0.0065170653050255,0.015064935064935,0.0163086714399363,0.0273704789833822,0.0057713789251582,0.0045836516424751,0.0093080980452994,0.0059028095543149,0.0071450761105933,0.0135808057944771,0.0260534662437698,0.0318840579710144,0.0465116279069767,0.063625450180072,0.0409356725146198,0.0629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0057993055347398,0.4998294630000001,1.6596408537192552e-05,6.452004363059967e-05,3.5645717557710504e-05,1.558460474436654e-05,1,1,1,0,0,0
9606.ENSP00000230256,0.0,0.0,0.0,0.0,0.000506329113924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008121287540606,0.0008612522607871,0.0012093523246439,0.0,0.0,0.0,0.0012411567580985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0008014274242785,0.12035304,1.224538777469466e-06,1.1444402215975082e-05,4.4118341468476545e-06,1.2593286129671104e-06,1,1,1,0,0,0
